#LandmarkId	Lat	Long	Coverage radius	Comment	Earth radius	Distance to #1	Distance to #2	Distance to #3	Distance to #4	Distance to #5	Distance to #6	Distance to #7	Distance to #8	Distance to #9	Distance to #10	Distance to #11	Distance to #12	Distance to #13	Distance to #14	Distance to #15	Distance to #16	Distance to #17	Distance to #18	Distance to #19	Distance to #20
1	59	18	10		6371010	0	5242849,306	6726499,853	444780,4047	6657988,273	3179522,311	6746270,233	6746270,233	6746270,233	8754746,717	8765401,845	839088,753	16600956	13268847,98	3447048,137	16568070,08	444780,4047	6876240,873	6876240,873	6881699,191
2	12	13	10			5242849,306	0	1880092,384	4801299,905	1969934,453	2952874,753	1959411,776	1959411,776	1959411,776	4303424,735	4310977,898	4447804,047	11366716,59	18055706,44	8673217,892	11341900,32	4801299,905	2116602,56	2116602,56	2120432,31
3	12	13,00001	10,5			5242849,24	1,08	1880093,161	4801299,825	1969935,317	2952874,081	1959412,584	1959412,584	1959412,584	4303425,524	4310978,685	4447804,047	11366716,61	18055705,63	8673217,892	11341900,32	4801299,825	2116603,366	2116603,366	2120433,115
4	12	13,0001	10			5242848,64	10,8762218	1880100,159	4801299,1103	1969943,098	2952868,036	1959419,858	1959419,858	1959419,858	4303432,624	4310985,771	4447804,047	11366716,78	18055698,35	8673217,892	11341900,32	4801299,11	2116610,626	2116610,626	2120440,362
5	12,00001	13	10			5242848,197	1,107128048	1880093,161	4801298,796	1969935,127	2952873,878	1959412,52	1959412,52	1959412,52	4303425,501	4310978,665	4447802,935	11366717,7	18055705,69	8673216,78	11341901,43	4801298,796	2116603,306	2116603,306	2120433,057
6	0,001	0,001	100			6746140,607	1959254,585	111083,9617	6331418,596	157249,6947	4893842,046	157,253626	157,253626	157,253626	2345326,538	2353064,742	5908617,126	10007672,22	20014960,96	10007447,91	10007670,3	6331418,596	157406,8817	157406,8817	161385,8107
7	0,01	0,01	100			6744974,009	1957839,871	110088,7654	6330228,87	157257,3694	4892431,525	1572,536195	1572,536195	1572,536195	2346741,608	2354479,719	5907458,296	10008690,29	20013545,68	10006447,15	10008671,06	6330228,87	158822,1643	158822,1643	162800,6742
8	0,001	0	100			6746160,906	1959335,409	111195,1568	6331442,111	157171,015	4893913,966	111,1951053	111,1951053	111,1951053	2345249,287	2352987,77	5908636,374	10007670,28	20015007,02	10007447,91	10007670,3	6331442,111	157328,2805	157328,2805	161309,1491
9	-0,02	0	100			6748456,77	1960939,795	111217,3357	6333724,404	158830,0661	4895695,05	2223,902024	2223,902024	2223,902024	2343570,242	2351303,089	5910936,23	10005335,54	20012894,31	10009783,01	10005335,2	6333724,404	155684,9114	155684,9114	159625,4332
10	0	1,04	100			6725731,124	1876984,859	4447,804047	6307749,85	252615,5308	4819844,893	115642,9052	115642,9052	115642,9052	2426872,52	2434325,503	5889494,49	10009577,24	19899475,31	10007559,11	10007559,11	6307749,85	252615,5308	252615,5308	255110,597
11	0	-0,03	1000			6746879,687	1961837,727	114530,9542	6332256,807	154908,9624	4896156,872	3335,853035	3335,853035	3335,853035	2342852,908	2350599,484	5909323,955	10007500,89	20011782,36	10007559,11	10007559,11	6332256,807	154908,9624	154908,9624	158946,568
12	-0,01	0,01	10000			6747160,579	1959367,855	110088,7654	6332402,524	158822,1643	4894127,834	1572,536195	1572,536195	1572,536195	2345142,559	2352875,305	5909648,677	10006466,73	20013545,68	10008671,06	10006447,15	6332402,524	157257,3694	157257,3694	161197,7974
13	-0,01	-0,02				6747769,658	1961792,028	113424,4532	6333108,099	156481,3163	4896285,287	2486,39804	2486,39804	2486,39804	2342824,623	2350565,73	5910226,244	10006408,51	20012631,81	10008671,06	10006447,15	6333108,099	154892,8798	154892,8798	158891,9809
14	55	18,0001				444780,4048	4801300,7	6308643,159	6,377655644	6247287,593	2783666,395	6331553,143	6331553,143	6331553,143	8380367,281	8390891,544	469514,466	16156386,43	13683565,07	3891828,541	16123289,67	6,377655644	6464113,809	6464113,809	6469537,573
15	55,002	18				444558,0145	4801520,563	6308849,281	222,3902106	6247489,705	2783863,993	6331757,514	6331757,514	6331757,514	8380550,458	8391074,795	469662,1277	16156608,54	13683360,7	3891606,151	16123512,06	222,3902106	6464316,771	6464316,771	6469740,555
16	55,01	18	1000			443668,4537	4802403,194	6309682,694	1111,951006	6248308,154	2784642,055	6332584,409	6332584,409	6332584,409	8381297,045	8391821,663	470271,9243	16157497,72	13682533,8	3890716,59	16124401,62	1111,951006	6465138,403	6465138,403	6470562,264
17	1	81				8405977,84	7592934,844	8895779,19	8234948,892	9116311,394	6178074,48	9006956,881	9006956,881	9006956,881	10680751,21	10680636,22	8434890,116	10228579,76	11008161,33	9896364,005	10118754,21	8234948,892	9120230,559	9120230,559	9120342,498
18	0	-80,5				10493037,7	10388227,13	9062400,746	10548342,45	8840190,384	12113298,8	8951205,645	8951205,645	8951205,645	7381867,639	7383174,345	10247071,42	9897889,13	11063912,57	10007559,11	10007559,11	10548342,45	8840190,384	8840190,384	8840208,817
19	0	0,1				6744245,572	1951344,059	100075,5911	6329205,251	165298,8067	4886812,703	11119,51012	11119,51012	11119,51012	2352907,523	2360617,918	5906828,185	10007753,17	20003998,7	10007559,11	10007559,11	6329205,251	165298,8067	165298,8067	169088,3961
20	-1	80				8549935,397	7534450,155	8784601,607	8365199,925	9009075,192	6235166,042	8895779,19	8895779,19	8895779,19	10515587,42	10515147,01	8550134,848	10005870,15	11119339,02	10118754,21	9896364,005	8365199,925	9005145,798	9005145,798	9005063,319
21	1	-1,001	1000			6658009,827	1970020,91	248729,1599	6247310,084	111,1781233	4883175,07	157328,2686	157328,2686	157328,2686	2352853,344	2361118,717	5819482,501	10116794,81	19857789,94	9896364,005	10118754,21	6247310,084	222390,2302	222390,2302	227949,9845
22	0,999	-0,999	200			6658075,806	1969917,912	248480,5504	6247368,457	157,2416757	4883109,951	157092,3864	157092,3864	157092,3864	2352912,537	2361177,13	5819549,874	10116687,51	19858025,83	9896475,2	10118643,01	6247368,457	222279,0351	222279,0351	227838,7894
23	1	-1,002				6658031,381	1970107,371	248828,6247	6247335,075	222,3563277	4883249,109	157406,9483	157406,9483	157406,9483	2352781,377	2361047,024	5819503,422	10116792,87	19857711,26	9896364,005	10118754,21	6247335,075	222390,3135	222390,3135	227950,0659
24	1,01	-1				6656897,419	1969235,542	249128,7875	6246201,598	1111,95101	4882271,546	158037,7921	158037,7921	158037,7921	2353772,942	2362040,36	5818369,493	10117908,53	19857080,42	9895252,054	10119866,16	6246201,598	223502,1534	223502,1534	229061,9084
25	1,01	-1,02	1488			6657328,734	1970965,737	251115,7971	6246701,67	2486,092063	4883752,698	159610,1869	159610,1869	159610,1869	2352334,613	2360607,509	5818788,198	10117869,73	19855508,03	9895252,054	10119866,16	6246701,67	223513,2161	223513,2161	229072,7026
26	5	25				6034601,244	1531328,507	2722622,271	5595094,778	2920515,557	3089469,621	2831421,555	2831421,555	2831421,555	4936186,789	4940672,651	5341947,646	10610455,95	17183696,66	9451583,6	10563534,61	5595094,778	2964013,219	2964013,219	2965291,378
27	-15	-15	1000			8754746,717	4303424,735	2423681,4	8380363,813	2352925,313	7235492,363	2345169,308	2345169,308	2345169,308	0	11119,51012	7924786,668	8311097,422	17669948,9	11675485,62	8339632,588	8380363,813	2187944,693	2187944,693	2183945,098
28	-14,9	-15	1000			8744091,905	4295884,638	2416244,361	8369840,075	2344682,727	7227382,472	2337457,125	2337457,125	2337457,125	11119,51012	22239,02024	7914197,995	8322215,235	17677661,09	11664366,11	8350752,098	8369840,075	2180223,397	2180223,397	2176238,285
29	-15	-14,8	1000			8748618,545	4287675,777	2407782,693	8373445,93	2338590,261	7220816,338	2329771,233	2329771,233	2329771,233	21481,24327	24184,10739	7918250,997	8311472,947	17685346,98	11675485,62	8339632,588	8373445,93	2172569,251	2172569,251	2168542,658
30	-15	-15,2	1000			8760906,734	4319228,505	2439674,426	8387317,005	2367377,873	7250200,464	2360671,513	2360671,513	2360671,513	21481,24327	24184,10739	7931363,092	8310722,242	17654446,7	11675485,62	8339632,588	8387317,005	2203431,659	2203431,659	2199458,866
31	0,532	0,53				6677448,59	1875950,34	78934,2415	6261374,359	177894,5288	4810769,197	83501,22271	83501,22271	83501,22271	2428660,922	2436394,314	5840417,486	10067734,41	19931616,99	9948403,312	10066714,9	6261374,359	240750,7596	240750,7596	244715,824
32	89	-15				3354284,524	8575085,16	9900671,927	3798993,778	9788473,186	6373809,825	9900153,251	9900153,251	9900153,251	11564290,52	11575410,03	4127514,782	19838687,52	10114964,96	111195,1012	19903923,11	3798993,778	10010861,41	10010861,41	10016421,11
33	32,0002	32	1000			3179500,838	2952890,362	4822687,564	2783648,478	4883114,806	22,23922369	4894013,155	4894013,155	4894013,155	7235506,307	7243620,44	2704435,409	13624308,23	15121105,06	6449293,629	13565824,58	2783648,478	5050747,872	5050747,872	5054981,361
34	54	23,005				634783,882	4752849,437	6335638,325	341682,6316	6289792,285	2548523,94	6365429,705	6365429,705	6365429,705	8476703,415	8487022,461	704774,0083	16054406,83	13649688,51	4003023,642	16012094,57	341682,6316	6503059,843	6503059,843	6508396,517
35	31,99	32	2000			3180595,93	2952094,417	4821937,418	2784719,977	4882412,43	1111,951014	4893279,637	4893279,637	4893279,637	7234795,196	7242908,167	2705426,272	13623174,22	15121838,57	6450427,819	13564690,39	2784719,977	5050016,809	5050016,809	5054249,609
36	5,5	37,6				6181285,063	2796529,349	4109071,53	5776442,598	4312958,48	3003683,719	4218876,239	4218876,239	4218876,239	6227083,65	6230430,03	5642931,917	10686916,44	15796241,97	9395986,049	10619132,16	5776442,598	4346870,94	4346870,94	4347838,485
37	5	37,6				6235657,044	2812923,628	4102273,061	5830366,2	4308152,908	3058366,121	4212316,554	4212316,554	4212316,554	6206176,51	6209419,252	5695417,694	10631324,26	15802801,66	9451583,6	10563534,61	5830366,2	4339028,578	4339028,578	4339920,98
38	0	0,01				6746067,292	1958603,701	110083,1502	6331315,694	158037,7921	4893279,637	1111,95101	1111,95101	1111,95101	2345941,962	2353677,392	5908553,484	10007578,51	20014006,26	10007559,11	10007559,11	6331315,694	158037,7921	158037,7921	161997,4024
39	0,01	0,01				6744974,009	1957839,871	110088,7654	6330228,87	157257,3694	4892431,525	1572,536195	1572,536195	1572,536195	2346741,608	2354479,719	5907458,296	10008690,29	20013545,68	10006447,15	10008671,06	6330228,87	158822,1643	158822,1643	162800,6742
